Course Title,Qualification Level,entry_requirements,description
Marketing,Diploma,Certificate IV in Marketing or equivalent; or relevant vocational experience,This qualification is part of the Business Services Training Package. It reflects the role of individuals who possess a sound theoretical knowledge base in marketing management and demonstrate a range of managerial skills to ensure marketing functions are effectively conducted in an organisation or business area. Typically they would have responsibility for the work of other staff and lead teams in conducting marketing campaigns.
Quality Auditing,Diploma,Certificate IV in Business or relevant qualification; or relevant employment experience,"This qualification is part of the Business Services Training Package. It reflects the role of individuals who possess a sound theoretical knowledge base and use a range of specialised, technical or managerial competencies to plan, carry out and evaluate their own work and/or the work of a team. Students may choose from a range of units which will enable them to perform in such roles as quality assurance manager, quality facilitator, quality and improvement consultant and service quality system support analyst."
Advertising,Advanced Diploma,Diploma of Advertising or other relevant qualification; or relevant employment experience,"This qualification is part of the Business Services Training Package. It is suitable for individuals who wish to provide leadership and strategic direction for the advertising activities of an organisation. They will learn to analyse, design and execute judgements using wide-ranging technical, creative, conceptual and managerial competencies. Students may specialise or broaden their knowledge of the advertising field. Participants will develop their management abilities and become accountable for group outcomes and for the overall performance of the advertising function in an organisation."
Business,Advanced Diploma,Diploma of Business or other relevant qualification; or relevant employment experience,"This qualification is part of the Business Services Training Package. It is suitable for individuals with significant expertise in either specialised or broad areas of skills and knowledge and who are seeking to further develop their expertise across a range of business functions. This qualification is also suited to individuals who possess significant theoretical business skills and knowledge that they would like to develop in order to create further educational or employment opportunities. Areas that students can explore include: advertising, human resource management, management, marketing and intellectual property."
Management,Advanced Diploma,Diploma of Management; or relevant vocational experience in management,This qualification is part of the Business Services Training Package. It is suitable for individuals who wish to expand on their skills and knowledge in order to take on senior or managerial responsibilities. The qualification provides them with the training to either oversee the work of others or have specialised roles where they do not supervise others but provide strategic leadership.
Marketing,Advanced Diploma,Diploma of Marketing; or relevant vocational experience,"This qualification is part of the Business Services Training Package. It is suitable for individuals who wish to develop their skill-base so that they can effectively provide leadership and strategic direction in the marketing activities of an organisation. Students will build upon their ability to analyse, design and execute judgements using wide-ranging technical, creative, conceptual or managerial competencies. This qualification provides participants with the training to manage group outcomes and to maintain the overall performance of the marketing function of an organisation."
Project Management,Advanced Diploma,Diploma of Project Management or other relevant qualification; or extensive relevant employment experience,"This qualification is part of the Business Services Training Package. It suitable for individuals who wish to build upon their ability to analyse, design and execute judgements using wide-ranging technical, creative, conceptual or managerial competencies. This qualification will prepare participants to oversee and manage projects within a workplace setting where they are often accountable for group outcomes."
Management (Human Resources),Advanced Diploma,Relevant Diploma; or relevant vocational experience,"This qualification is part of the Business Services Training Package. It is suitable for individuals who want to provide leadership and strategic direction in the human resources activities of an organisation. Participants would build upon their skills to analyse, design and execute judgements using wide-ranging technical, creative, conceptual or managerial competencies. This qualification will prepare participants to oversee and take responsibility for group outcomes and for the overall performance of the human resources function of an organisation."
Community Development,Diploma,Certificate IV in Community Development; or equivalent relevant vocational experience,This qualification is part of the Community Services Training Package. It applies to community development work that aims to facilitate community members to influence and guide the future of their community. Workers in this area assist community members to develop techniques and frameworks to facilitate this process. Students may choose electives from one or more of the following groups: Working with people with alcohol and other drug issues; Working with people with mental health issues; Child protection; Settlement work; Social housing/homelessness.
Children's Services (Early childhood education and care),Diploma,Candidates must demonstrate competence in the following units: Identify and respond to children and young people at risk; Ensure the health and safety of children; Provide care for children; Contribute to provision of nutritionally balanced food in a safe and hygienic manner; Provide care for babies; Work within a relevant legal and ethical framework; Support the development of children; Interact effectively with children; Provide experiences to support children's play and learning; Develop understanding of children's interests and developmental needs; Apply first aid; Contribute to OHS processes,"This qualification is part of the Community Services Training Package. It covers workers in children's services who are responsible for planning, implementing and managing programs in early childhood services, in accordance with licensing, accreditation and duty of care requirements. At this level workers have responsibility for supervision of other staff and volunteers. In most states it is the highest qualification required at director or service manager level for children's service centre-based care."
Children's Services (Outside school hours care),Diploma,"Candidates must demonstrate competence through a recognised training program or recognition process, in the following units of competency: Identify and respond to children and young people at risk; Ensure the health and safety of children; Contribute to provision of nutritionally balanced food in a safe and hygienic manner; Work within a relevant legal and ethical framework; Support the development of children; Support children to participate in outside school hours care; Develop and implement activities in outside school hours care; Work effectively with children in outside school hours care; Provide experiences to support children's play and learning; Apply first aid; Work effectively with culturally diverse clients and co-workers; Contribute to OHS processes","This qualification is part of the Community Services Training Package. It covers workers who are responsible for running a before-and-after-school care and/or vacation care service. This work includes planning, implementing and managing programs which address licensing, accreditation and duty-of-care requirements. Workers at this level are responsible for supervising other staff and volunteers. In most states this diploma is the minimum qualification required under the national standards for outside-school-hours care coordinator positions."
Education Support,Diploma,Certificate IV in Education Support; or relevant vocational experience,This qualification is part of the Community Services Training Package. It covers workers in a range of education and school settings who provide assistance and support in the classroom under teacher supervision. The qualification provides opportunity for education workers to broaden their skills and knowledge base in the field of education support work.
Youth Work,Diploma,Certificate IV in Youth Work; or relevant vocational experience,"This qualification is part of the Community Services Training Package. It covers people responsible for the development and outcomes of programs and services for young people, designed to meet their social, behavioural, health, welfare, developmental and protection needs. Workers in this area are employed in community, government and welfare agencies, and are responsible for directing and supervising staff, contracting external agencies and/or managing specialist services."
Creative Industries,Certificate I,No minimum education,"This qualification is part of the Screen and Media Training Package. It allows learners to develop basic skills and knowledge to prepare for work in the creative industry sectors, and gain a limited range of technical skills."
Creative Industries (Media),Certificate II,No minimum education,"This qualification is part of the Screen and Media Training Package. It provides entry-level training in a range of mainly routine tasks in the creative industry sectors for those who work under direct supervision, and use limited practical skills and fundamental operational knowledge in a defined context. Students have the opportunity to choose from a variety of areas: art and construction, audio and sound, digital content and imaging, on-air presentation and post-production."
Media,Certificate III,No minimum education,"This qualification is part of the Screen and Media Training Package. It reflects the role of a skilled operator in the film, television, radio or digital media industries who applies a broad range of competencies in a varied work context, using some discretion and judgement and relevant theoretical knowledge. They may provide technical advice and support to a team."
Screen and Media,Certificate IV,No minimum education,"This qualification is part of the Screen and Media Training Package. It is designed for individuals who wish to further develop their skills and knowledge base in a wide variety of contexts in the film, television, radio and digital media industries. Participants will engage with a defined range of unpredictable problems and analyse and evaluate information from a variety of sources in order to create solutions. Students have the opportunity to choose from a variety of areas including: animation and digital effects, audio and sound, broadcasting and camera and cinematography. They will also have the opportunity to build upon their leadership and management skills."
Meat Processing (Smallgoods),Certificate I,No minimum education,This qualification is part of the Australian Meat Industry Training Package. It covers work activities undertaken by workers commencing entry-level work in smallgoods enterprises.
Sampling and Measurement,Certificate II,No minimum education,"This qualification is part of the Laboratory Operations Training Package. It covers the skills and knowledge required to perform a range of sampling and measurement as part of production or field operations in the construction, manufacturing, resources and environmental industry sectors."
Laboratory Skills,Certificate III,No minimum education,This qualification is part of the Laboratory Operations Training Package. It covers the skills and knowledge required to perform a limited range of laboratory operations across all industry sectors.
Laboratory Techniques,Certificate IV,Certificate III in Laboratory Skills,This qualification is part of the Laboratory Operations Training Package. It covers the skills and knowledge required to perform a range of laboratory techniques to conduct tests and sampling in a variety of industry sectors.
Laboratory Technology,Diploma,Certificate IV in Laboratory Techniques,This qualification is part of the Laboratory Operations Training Package. It covers the skills and knowledge required to apply a range of laboratory technologies to conduct scientific-technical tests and sampling in most industry sectors.
Laboratory Operations,Advanced Diploma,Relevant Diploma or equivalent with current relevant employment,This qualification is part of the Laboratory Operations Training Package. It covers the skills and knowledge required to supervise laboratory operations within a work area or project team.
Sustainable Operations,Certificate IV,No minimum education,"This qualification is part of the Sustainability Training Package. It provides the skills and knowledge required to lead the implementation of sustainability related initiatives in a section of an organisation. The qualification has been developed with manufacturing operations as a focus. However, because of the range of organisations in a typical manufacturing value chain it may also be applied to other types of organisations. The qualification is also appropriate for a technician or similar person who as part of a broader job role needs to undertake sustainability related work."
Environmental Monitoring and Technology,Diploma,No minimum education,"This qualification is part of the Sustainability Training Package. It covers the skills and knowledge required to apply a range of methods and technologies to conduct environmental sampling, testing and monitoring in most industry sectors and to assist environmental scientists, engineers and planners with site assessment, minimising environmental impacts of processes and remediation/rehabilitation of sites."
Computer Systems Technology,Certificate IV,"Certificate III in Information, Digital Media and Technology or other relevant qualification; or Year 12; or relevant vocational experience","This qualification is part of the Information and Communications Technology Training Package. It provides the skills and knowledge for an individual to install and administer simple networks, servers and client desktop deployments either as an independent information and communications technology (ICT) specialist or as part of a team."
Polymer Technology,Certificate IV,No minimum education,"This qualification is part of the Plastics, Rubber and Cablemaking Training Package. It is intended for senior operators and polymer technicians. These technicians may be process-based and directly involved in production, or they may be based elsewhere, such as in a laboratory, although they will typically still have functions on the production floor. The technician will typically be involved in trialling and in solving more complex problems which require greater theoretical knowledge, combined with an understanding of the production process and equipment."
Polymer Technology,Diploma,Certificate IV in Polymer Technology or equivalent,"This qualification is part of the Plastics, Rubber and Cablemaking Training Package. It is intended for technologists and paraprofessionals who may have worked their way up through the PMB certificate qualifications or who have entered the industry at this level, either from another industry or trade occupation. The technologist will analyse performance and failure in equipment and products and will assist in the development of new and modified products."
Polymer Technology,Advanced Diploma,Diploma of Polymer Technology,"This qualification is part of the Plastics, Rubber and Cablemaking Training Package. It completes the paraprofessional training commenced in the Diploma. The technologist will develop new products and tools and will typically at this level also have some supervisory responsibilities. This qualification however is predominantly technical in its application and requires significant depth and breadth of theoretical polymer, product and process knowledge."
Manufactured Mineral Products,Certificate II,No minimum education,This qualification is part of the Manufactured Mineral Products Training Package. It covers the skills and knowledge required to perform a range of process operations within the manufactured mineral products industries. The qualification is intended for competent operators who operate production equipment or undertake similar roles directly producing products.
Manufactured Mineral Products,Certificate III,No minimum education,"This qualification is part of the Manufactured Mineral Products Training Package. It covers the skills and knowledge required to perform a range of advanced operations within the manufactured mineral products industries. This qualification is intended for advanced operators and operations technicians who use production equipment to directly produce products. At this level, operators/technicians would undertake more advanced operations, typically including start-up and shut-down in accordance with the operating procedures, and would apply their knowledge to anticipate problems."
Racing Services (Racing Administration),Certificate IV,No minimum education,"This qualification is part of the Racing Training Package. It reflects the role of persons who are responsible for organising their own work, leading others, and planning for and carrying out tasks of complex and non-routine functions. Work responsibilities include the administration, event management and operations areas of racing."
Floristry (Assistant),Certificate II,No minimum education,This qualification is part of the Floristry Training Package. It reflects the role of individuals who possess a defined and limited range of basic floristry technical skills. This qualification equips learners to work in many floristry industry sectors and enterprise types and assemble a range of fundamental floristry products to pre-determined designs and job specifications.
Floristry,Certificate III,No minimum education,"This qualification is part of the Floristry Training Package. It is aimed at more experienced employees in the floristry industry, whose work requires extensive product knowledge and specialist skill application. It requires learners to select, adapt and transfer skills to manage a broader range of activities in routine and non-routine contexts. Leadership and problem solving skills are developed. Learners are required to understand methods and procedures and take some responsibility for others."
Floristry,Certificate IV,Relevant employment,This qualification is part of the Floristry Training Package. It has been designed to develop the floristry design and first line management skills of those working in the floristry industry. It applies to those who are senior florists or owners/managers of a floristry outlet with responsibility for the managerial and financial operation of the small business.
Floristry Design,Diploma,This qualification is for senior florists with substantial experience that have been recognised as competent through the successful completion of the Certificate IV in Floristry.,"This qualification is part of the Floristry Training Package. It reflects the role of individuals who possess a specialist range of highly developed floristry design, construction and sales skills."
Retail Make-Up and Skin Care,Certificate II,No minimum education,"This qualification is part of the Beauty Training Package. It teaches students the skills to be competent in communicating in the workplace, interacting with customers, demonstrating and selling make-up and retail skin care products and performing routine salon or store functions."
Nail Technology,Certificate II,No minimum education,"This qualification is part of the Beauty Training Package. It provides students with the skills to competently interact with customers, provide manicure and pedicure services, apply acrylic or gel nail enhancement, and apply nail art."
Beauty Services,Certificate III,No minimum education,"This qualification is part of the Beauty Training Package. It is designed to develop students' skills so they can competently interact with customers, provide a range of beauty services which may include make-up, waxing, nail technology, lash and brow treatments and demonstrating and selling retail skin care and other cosmetic products."
Work Preparation (Community services),Certificate I,No minimum education,This qualification is part of the Community Services Training Package. It provides an exposure to work in the community services industry. It may serve as a basis for workplace entry training for people with a disability seeking employment in business service or open employment.
Disability,Certificate III,No minimum education,"This qualification is part of the Community Services Training Package. Workers in this area carry out activities under direct or regular supervision to maintain personal care and other activities of living for people with a disability in the community and/or residential facilities. These workers carry out activities related to an individualised plan, report directly to a supervisor, and are not responsible for other workers."
Aged Care,Certificate IV,Certificate III in Aged Care,"This qualification is part of the Community Services Training Package. It addresses work primarily in residential facilities within defined organisation guidelines and service plans. Work in this area may include maintaining an individual's wellbeing through personal care and/or other activities of living; providing services to individuals with complex needs, and/or working with older people; training and support to promote independence and community participation. Workers at this level report to service managers and liaise with professionals and other service providers, and may be required to supervise and/or coordinate a limited number of other workers."
Leisure and Health,Certificate IV,No minimum education,"This qualification is part of the Community Services Training Package. Workers in this occupational group work in residential facilities and/or in community agencies and day centres. Work may be under professional supervision within defined organisational guidelines or as sole practitioners. These workers assist to design, implement and evaluate health and leisure for clients in one or more sector areas."
Community Services Work,Certificate IV,No minimum education,"This qualification is part of the Community Services Training Package. It covers workers who provide a range of services and interventions to clients, and/or who implement community education and interventions. Work may take place in a range of contexts such as community-based organisations, residential rehabilitation services and outreach services, and workers may have supervisory responsibilities. The qualification defines the knowledge and skills required by support workers and case workers who work autonomously under the broad guidance of others, and refers to specific knowledge of a client group and appropriate intervention processes applied in residential and community settings."
Community Development,Certificate IV,No minimum education,"This qualification is part of the Community Services Training Package. It applies to community development work which aims to facilitate community members working together through public social change processes to influence and guide the future of their community. The work may occur within social, environment, economic, arts and culture and recreation sectors. Workers in this area work within a professional team, under guidance. Students may choose electives from one or more of the following areas: Working with people with alcohol and other drug issues; Working with people with mental health issues; Child protection; Social housing work; Homelessness support and Settlement work."
Celebrancy,Certificate IV,No minimum education,"This qualification is part of the Community Services Training Package. It covers the broad based skills and knowledge that underpin a range of celebrancy roles, as well as addressing specific legislative responsibilities of marriage celebrants and providing a range of electives representing different aspects of celebrancy work."
Disability,Diploma,Prerequisite units from Certificate IV in Disability or equivalent; or relevant vocational experience,"This qualification is part of the Community Services Training Package. Workers in this role are responsible for the coordination and management of agencies delivering services to people with a disability. They are usually also involved in service delivery, either direct client work and/or community development projects and have responsibility for supervision of other staff and volunteers."
Community Services (Financial counselling),Diploma,"It is recommended that candidates have sufficient relevant work experience in a job role involving: the self-directed application of knowledge with substantial depth in some areas, the exercise of independent judgement and decision-making and the application of relevant technical and other skills, to indicate likely success at this level of qualification.","This qualification is part of the Community Services Training Package. It applies to financial counselling, which is a specialist service assisting people faced with debt and other financial issues."
Community Services (Case management),Diploma,Relevant work experience; or relevant qualification,This qualification is part of the Community Services Training Package. It applies to workers who deliver case management and case work intervention services to clients and who work under broad direction from senior managers.
Career Development Practice,Graduate Certificate,Relevant qualification at Diploma level or higher; or significant relevant vocational experience,"This qualification is part of the Community Services Training Package. It covers workers who provide a range of career development services, who may operate independently as a professional career development practitioner, or within an organisation. Workers at this level make high level, independent, complex judgements in providing guidance in career development. They are fully responsible and accountable for all aspects of their work."
Graduate Community Sector Management,Graduate Diploma,Undergraduate Degree or postgraduate qualification in a discipline related to work in the community sector or business management; or significant vocational experience,This qualification is part of the Community Services Training Package. It applies to people employed to undertake a range of management functions requiring a high level application of knowledge and skills in the following contexts: working independently and reporting directly to a board of management or other governing body; responsible for setting organisation goals and strategic direction and responsible for ensuring organisation governance and risk management.
Community Services Practice  (Client assessment and case management),Graduate Certificate,An undergraduate degree or postgraduate qualification in a discipline related to work in the community sector; or relevant vocational experience,This qualification is part of the Community Services Training Package. It is for advanced practitioners involved in client assessment and case management. The qualification will provide the knowledge and skills necessary to: provide specialist services to clients with complex and diverse needs; act as a resource for other workers; provide practice supervision of staff including volunteers; work intensively with clients.
Graduate Relationship Counselling,Graduate Diploma,Relevant qualification or experience,"This qualification is part of the Community Services Training Package. It is for those who work with families, couples and/or children and wish to build specialised skills in relationship counselling. It provides practical on-the-job skills and industry knowledge."
Graduate Family Dispute Resolution,Graduate Diploma,Relevant qualification or experience,"This qualification is part of the Community Services Training Package. It is for those with an existing interest in conflict management, problem solving methodologies or alternative dispute resolution, and those who already work with couples, families or children in areas including families in conflict, separation or divorce, or families experiencing complex difficulties. The program was developed in response to changes in the family law system and new and extended services for families."
Construction,Certificate I,No minimum education,"This qualification is part of the Construction, Plumbing and Services Training Package. It provides an introduction to the construction industry, its culture, occupations, job roles and workplace expectations. The units of competency cover essential occupational health and safety requirements, the industrial and work organisation structure, communication skills, work planning, and basic use of tools and materials. The qualification is built around a basic construction project unit that integrates the skills and embeds the facets of employability skills in context."
Construction Pathways,Certificate II,An apprenticeship contract,"This qualification is part of the Construction, Plumbing and Services Training Package. It provides a pathway to the primary trades in the construction industry with the exception of plumbing. Trade outcomes are predominantly achieved through an apprenticeship and this course allows for inclusion of skills suited for entry to off-site occupations, such as joinery and shopfitting as well as carpentry, bricklaying and other occupations in general construction. It is designed to introduce learners to the recognised trade callings in the construction industry and provide meaningful credit in a construction industry Australian Apprenticeship."
Bricklaying/Blocklaying,Certificate III,An apprenticeship contract,"This qualification is part of the Construction, Plumbing and Services Training Package. It provides a trade outcome in bricklaying and blocklaying."
Carpentry,Certificate III,An apprenticeship contract,"This qualification is part of the Construction, Plumbing and Services Training Package. It provides a trade outcome in carpentry, covering work in residential and commercial applications."
Dogging,Certificate III,An apprenticeship contract,"This qualification is part of the Construction, Plumbing and Services Training Package. It is for people working or wanting to work as doggers in the construction industry."
Painting and Decorating,Certificate III,Year 10 or equivalent,"This qualification is part of the Construction, Plumbing and Services Training Package. It provides a trade outcome in painting and decorating for residential and commercial construction work."
Rigging,Certificate III,An apprenticeship contract,"This qualification is part of the Construction, Plumbing and Services Training Package. It is for people working or wanting to work as riggers in the construction industry."
Scaffolding,Certificate III,An apprenticeship contract,"This qualification is part of the Construction, Plumbing and Services Training Package. It will equip students with the skills required to work as a scaffolder in the residential and commercial construction industry."
Solid Plastering,Certificate III,An apprenticeship contract,"This qualification is part of the Construction, Plumbing and Services Training Package. It provides a trade outcome in solid plastering in the residential and commercial construction industry."
Wall and Ceiling Lining,Certificate III,An apprenticeship contract,"This qualification is part of the Construction, Plumbing and Services Training Package. It provides a trade outcome in wall and ceiling lining."
Wall and Floor Tiling,Certificate III,An apprenticeship contract,"This qualification is part of the Construction, Plumbing and Services Training Package. It provides a trade outcome in wall and floor tiling for residential and commercial construction work."
Construction Waterproofing,Certificate III,An apprenticeship contract,"This qualification is part of the Construction, Plumbing and Services Training Package. It provides a trade outcome in waterproofing for the residential and commercial construction industries."
Formwork/Falsework,Certificate III,An apprenticeship contract is strongly recommended.,"This qualification is part of the Construction, Plumbing and Services Training Package. It provides a trade outcome in construction of formwork and falsework, covering work in residential and commercial applications."
Carpentry and Joinery,Certificate III,An apprenticeship contract is strongly recommended,"This qualification is part of the Construction, Plumbing and Services Training Package. It provides a trade outcome in carpentry and joinery, covering work in residential and commercial applications."
Signage,Certificate III,No minimum education,"This qualification is part of the Construction, Plumbing and Services Training Package. It covers the skills and knowledge required to perform a range of skills associated with work in the Sign, Graphic Display, Visual Merchandising Display, Vehicle Graphic and related sign manufacture industries. Students will learn about the processes, as well as the specialised skills of the industry and the relationship of this trade to a range of other related industries, e.g. Construction, Graphic Production and Visual Display industries."
Building and Construction (Building),Certificate IV,No minimum education,"This qualification is part of the Construction, Plumbing and Services Training Package. It is designed to meet the needs of builders and managers of small to medium-sized building businesses. The builder may also be the appropriately licensed person with responsibility under the relevant building licensing authority in the state or territory. Builder licensing varies across States and Territories and additional requirements may apply."
Building and Construction (Contract Administration),Certificate IV,An apprenticeship contract is strongly recommended.,"This qualification is part of the Construction, Plumbing and Services Training Package. It is designed to meet the needs of contract administrators working in small to medium-sized enterprises."
Building and Construction (Estimating),Certificate IV,An apprenticeship contract is strongly recommended.,"This qualification is part of the Construction, Plumbing and Services Training Package. It is designed to meet the needs of estimators and schedulers in the building and construction field."
Building and Construction (Sales),Certificate IV,No minimum education,"This qualification is part of the Construction, Plumbing and Services Training Package. It is designed to meet the needs of sales consultants in the building and construction industry."
Building and Construction (Site Management),Certificate IV,An apprenticeship contract is strongly recommended.,"This qualification is part of the Construction, Plumbing and Services Training Package. It is designed to meet the needs of site managers and supervisors in the building and construction industry."
Building and Construction (Specialist Trades),Certificate IV,An apprenticeship contract is strongly recommended.,"This qualification is part of the Construction, Plumbing and Services Training Package. It is designed to meet the needs of experienced tradespersons seeking to expand their skills in a diverse range of technical areas. The qualification also reflects the needs of tradespersons responsible for managing projects."
Building Surveying,Diploma,An apprenticeship contract is strongly recommended.,"This qualification is part of the Construction, Plumbing and Services Training Package. It is designed to meet the needs of surveyors in the building and construction industry."
Building and Construction (Building),Diploma,No minimum education,"This qualification is part of the Construction, Plumbing and Services Training Package. It is designed to meet the needs of builders, including selecting contractors, overseeing the work and its quality, and liaising with clients. The builder may also be the appropriately licensed person with responsibility under the relevant building licensing authority in the state or territory. Builder licensing varies across states and territories and additional requirements may apply."
Building and Construction (Management),Diploma,No minimum education,"This qualification is part of the Construction, Plumbing and Services Training Package. It is designed to meet the needs of senior managers within building and construction firms who want to formalise their training and gain a qualification."
Building Surveying,Advanced Diploma,No minimum education,"This qualification is part of the Construction, Plumbing and Services Training Package. It is designed for students who are senior surveyors in the building and construction industry."
Technical Security,Certificate II,No minimum education,"This qualification is part of the Property Services Training Package. It covers learning areas such as how to effectively communicate in the security industry, how to install security equipment and systems and how to perform maintenance on security equipment."
Security Operations,Certificate III,No minimum education,This qualification is part of the Property Services Training Package. It aims to provide participants with the knowledge and skills required to provide security services for homes and businesses.
Technical Security,Certificate III,No minimum education,This qualification is part of the Property Services Training Package. It provides training for those who install and maintain security equipment and systems.
Investigative Services,Certificate III,No minimum education,This qualification is part of the Property Services Training Package. It is for people who want to work in the private investigations industry as sub-agents. Students will develop knowledge and skills in planning and conducting an investigation. They will also learn how to coordinate work teams in an investigation industry context.
Property Services (Real Estate),Certificate IV,No minimum education,"This qualification is part of the Property Services Training Package. It provides training for those working within the real estate industry. It covers the skills needed to provide support to the functional areas within either a real estate/property agency or a strata-managing agency. These generic skills will be applicable in the areas of property management/leasing, sales and agency administration across the broad range of property sectors - residential, commercial and industrial."
Security and Risk Management,Certificate IV,No minimum education,"This qualification is part of the Property Services Training Package. On completion of the course, graduates will be able to apply the legal, technical and operational competencies required for work in the risk management field. Opportunities may exist in the insurance industry and with private investigation organisations."
Access Consulting,Certificate IV,Entry requirements may vary among providers.,"This qualification is part of the Property Services Training Package. It will benefit a wide range of people with responsibility to improve access to buildings, facilities, parks, streetscapes, playgrounds and open spaces. This includes people working independently or as part of a team or larger organisation such as government, building surveyors, architects, occupational therapists, educational institutions, hospitals and other community organisations."
Home Sustainability Assessment,Certificate IV,No minimum education,"This qualification is part of the Property Services Training Package. It is designed to meet the needs of home sustainability assessors. Potential users of this qualification include home sustainability assessors, enterprises, government agencies and community organisations employing home sustainability assessors, and organisations funding home sustainability programs."
Property Services (Agency Management),Diploma,Certificate IV in Property Services or relevant vocational experience,This qualification is part of the Property Services Training Package. It provides training for those who wish to acquire the skills needed to operate and manage a real estate/property agency. It covers customer services and the procedures and practices involved in the management of property under an agency contract.
Property Services (Asset and Facility Management),Diploma,No minimum education,This qualification is part of the Property Services Training Package. It provides training for facility managers.
Security and Risk Management,Diploma,No minimum education,This qualification is part of the Property Services Training Package. It aims to provide participants with the knowledge and skills needed to coordinate security operations and assess security situations.
Access Consulting,Diploma,No minimum education,"This qualification is part of the Property Services Training Package. It provides students with the skills required to provide advice on the provision of access to people with disabilities and their families as well as to governments, the building industry, designers, and owners and managers of buildings and facilities."
Food Processing,Certificate III,Certificate II in Food Processing; or vocational training and/or work experience,"This qualification is part of the Food Processing Training Package. It covers a range of food processing industries, such as grain processing, beverages, confectionery, dairy processing, fruit and vegetables, grocery products and supplies, and poultry."
Retail Baking (Bread),Certificate III,Certificate II in Retail Baking Assistance; or relevant vocational training and/or work experience,This qualification is part of the Food Processing Training Package. It covers the retail baking - bread specialisation within the food processing industry. It provides trade baking skills and knowledge for those working in a retail baking environment with a focus on bread baking.
Wine Industry Operations,Certificate III,"Certificate II in Wine Industry Operations or relevant employment. Many units assume a basic level of mathematics equivalent to a Year 10 standard. If a student does not possess this level of mathematics, then the unit Use Numerical Applications in the Workplace, should be selected as part of this qualification.","This qualification is part of the Food Processing Training Package. It covers the wine industry operational areas of bottling and packaging, cellar door sales, cellar operations, laboratory, warehousing and wine grape growing. It targets those performing production-related roles that require an application of wine industry-specific skill and knowledge."
Retail Baking (Cake and Pastry),Certificate III,Certificate II in Retail Baking Assistance; or relevant vocational training and/or work experience,This qualification is part of the Food Processing Training Package. It covers the retail baking - cake and pastry specialisation within the food processing industry. It provides trade baking skills and knowledge for those working in a retail baking environment with a focus on cakes and pastry.
Retail Baking (Combined),Certificate III,Certificate II in Retail Baking Assistance; or relevant vocational training and/or work experience,This qualification is part of the Food Processing Training Package. It covers the retail baking - cake and pastry and bread specialisations within the food processing industry. It provides trade baking skills and knowledge for those working in a retail baking environment with a focus on cakes and pastry and bread.
Food Processing (Sales),Certificate III,Certificate II in Food Processing; or vocational training and/or work experience,"This qualification is part of the Food Processing Training Package. It covers the sales specialisation within the food processing industry. It targets those providing sales advice and services for manufacturing or retail food processing contexts. This qualification requires the ability to work independently and as a team member, performing a range of sales activities and applying technical skill and knowledge relating to the food processing industry."
Food Processing,Certificate IV,Certificate III in Food Processing; or relevant vocational training and/or vocational experience,"This qualification is part of the Food Processing Training Package. It targets those working in supervisory or middle management roles within food processing environments. This qualification includes technical skills and knowledge required to solve food production problems and ensure that operations are implemented and maintained at optimal performance. Emphasis is on monitoring the implementation of food processing systems and procedures with input into management functions of the organisation. It covers a range of food processing industries, such as grain, baking, retail baking, confectionery, dairy processing, fruit and vegetables, grocery products and supplies, and poultry."
