ANZSCO Code,ANZSCO Title,ANZSCO Description,Softskill1,Softskill2,Softskill3,Softskill4,Softskill5,Techskill1,Techskill2,Techskill3,Technology Tool Example1,Technology Tool Example2,Technology Tool Example3,Course1,Course2,Course3,Course4,Course5,entry_requirements1,entry_requirements2,entry_requirements3,entry_requirements4,entry_requirements5
262111,Database Administrator,"Plans, develops, configures, maintains and supports an organisation's database management system in accordance with user requirements ensuring optimal database integrity, security, backup, reliability and performance.",Teamwork,Initiative and innovation,Digital engagement,Planning and organising,Oral communication,Business intelligence and decision support software,Database management software,Enterprise resource planning ERP software,SAP Business Objects,PostgreSQL,SAP Business Objects,Diploma of Database Design and Development,,,,,Certificate IV in Information Technology Support; or relevant vocational experience,,,,
262113,Systems Administrator,"Plans, develops, installs, troubleshoots, maintains and supports an operating system and associated server hardware, software and databases ensuring optimum system integrity, security, backup and performance.",Initiative and innovation,Teamwork,Digital engagement,Writing,Reading,Software development and programming languages,Business intelligence and decision support software,Configuration management software,Transact-SQL,C++,SAP Business Objects,Diploma of Information Technology Systems Administration,,,,,Certificate IV in Information Technology Support; or relevant vocational experience,,,,
263111,Computer Network and Systems Engineer,"Plans, develops, deploys, tests and optimises network and system services, taking responsibility for configuration management and overall operational readiness of network systems, especially environments with multiple operating systems and configurations, and provides troubleshooting and fault-finding services for network problems.",Digital engagement,Planning and organising,Learning,Initiative and innovation,Reading,Software development and programming languages,Business intelligence and decision support software,Configuration management software,Transact-SQL,C++,SAP Business Objects,Advanced Diploma of Computer Systems Technology,Advanced Diploma of Computer Systems Engineering,,,,"No minimum education. Certificate IV in Computer Systems Technology or equivalent, or demonstrated vocational experience is recommended.",Year 12 or equivalent,,,
272111,Careers Counsellor,Provides individuals and groups with information about career choices and assists individuals with self-development.,Initiative and innovation,Planning and organising,Teamwork,Writing,Reading,Business intelligence and decision support software,Customer relationship management CRM software,Enterprise resource planning ERP software,SAP Business Objects,Salesforce software,SAP Business Objects,Graduate Certificate in Career Development Practice,Certificate IV in Career Development,,,,Relevant qualification at Diploma level or higher; or significant relevant vocational experience,No minimum education,,,
272112,Drug and Alcohol Counsellor,"Provides support and treatment for people with drug and alcohol dependency problems, develops strategies which assist them to set goals and affect and maintain change, and provides community education. May work in a call centre.",Planning and organising,Teamwork,Writing,Reading,Oral communication,Audio/video conferencing software,Patient management systems and electronic health records,Statistical and data analysis software,Microsoft Office SharePoint Server MOSS,3M Encoder,MEDITECH HCIS,Diploma of Community Services (Alcohol and other drugs),Diploma of Community Services (Mental health),"Diploma of Community Services (Alcohol, other drugs and mental health)",,,Certificate IV in Alcohol and Other Drugs or equivalent; or relevant vocational experience,Relevant Certificate IV and/or relevant vocational experience,Relevant Certificate IV; or competency against the core units from the Certificate IV in Mental Health or Certificate IV in Alcohol and Other Drugs; or relevant vocational experience,,
272113,Family and Marriage Counsellor,"Assists individuals, couples and families with marriage and relationship difficulties. May work in a call centre.",Planning and organising,Oral communication,Teamwork,Reading,Problem solving,Accounting software,Audio/video conferencing software,Patient management systems and electronic health records,MYOB Business Essentials,Microsoft Office SharePoint Server MOSS,3M Encoder,Graduate Diploma of Relationship Counselling,Graduate Diploma of Family Dispute Resolution,,,,Relevant qualification or experience,Relevant qualification or experience,,,
272211,Minister of Religion,"Performs spiritual functions associated with beliefs and practices of a religious faith, and provides motivation, guidance and training in religious life for the people of a congregation or parish, and the wider community. This occupation requires high levels of personal commitment and interest as well as, or in place of, formal qualifications or experience. Registration or licensing may be required.",Planning and organising,Oral communication,Teamwork,Reading,Initiative and innovation,Social media platforms,,,Facebook,,,Diploma of Ministry,Certificate IV in Ministry,Certificate IV in Christian Ministry and Theology,Advanced Diploma of Christian Ministry and Theology,,Year 10 or mature age,Year 10 or mature age,No minimum education,Diploma of Christian Ministry and Theology,
272412,Interpreter,"Transfers a spoken or signed language into another spoken or signed language, usually within a limited time frame in the presence of the participants requiring the translation.",Planning and organising,Teamwork,Initiative and innovation,Oral communication,Writing,Business intelligence and decision support software,Software development and programming languages,,SAP Business Objects,Transact-SQL,C++,Diploma of Interpreting,Advanced Diploma of Interpreting,,,,No minimum education. Applicants should be proficient in English and another language. This may be demonstrated through recognised or accredited language qualifications or through an assessment of current competency.,No minimum education. Applicants must demonstrate sufficient language proficiency in English and another language.,,,
272413,Translator,"Transfers a source text from one language into another, usually within an extended time frame to allow for corrections and modifications and without the presence of the participants requiring the translation.",Planning and organising,Teamwork,Reading,Oral communication,Initiative and innovation,Business intelligence and decision support software,Software development and programming languages,,SAP Business Objects,Transact-SQL,C++,Diploma of Auslan,Advanced Diploma of Translating,,,,Year 12 or equivalent; or mature age entry,No minimum education. Applicants must demonstrate sufficient language proficiency in English and another language.,,,
272613,Welfare Worker,"Assists individuals, families and groups with social, emotional or financial difficulties to improve quality of life, by educating and supporting them and working towards change in their social environment.",Planning and organising,Teamwork,Reading,Oral communication,Initiative and innovation,Business intelligence and decision support software,Patient management systems and electronic health records,,SAP Business Objects,3M Encoder,MEDITECH HCIS,Diploma of Community Services (Case management),Graduate Certificate in Community Services Practice  (Client assessment and case management),Diploma of Community Services Work,Diploma of Community Services (Alcohol and other drugs),"Diploma of Community Services (Alcohol, other drugs and mental health)",Relevant work experience; or relevant qualification,An undergraduate degree or postgraduate qualification in a discipline related to work in the community sector; or relevant vocational experience,Relevant vocational experience; or competency in the following core units from Certificate IV in Community Services Work: Work effectively in the community sector; Work effectively with culturally diverse clients and co-workers,Certificate IV in Alcohol and Other Drugs or equivalent; or relevant vocational experience,Relevant Certificate IV; or competency against the core units from the Certificate IV in Mental Health or Certificate IV in Alcohol and Other Drugs; or relevant vocational experience
311214,Operating Theatre Technician,"Prepares and maintains an operating theatre and its equipment, assists the surgical team during operations and provides support to patients in the recovery room.",Initiative and innovation,Planning and organising,Teamwork,Oral communication,Reading,Business intelligence and decision support software,Graphics or photo imaging software,Patient management systems and electronic health records,SAP Business Objects,Adobe Photoshop,3M Encoder,Certificate IV in Operating Theatre Technical Support,,,,,Specified units from Certificate III in Health Services Assistance,,,,
311215,Pharmacy Technician,"Fills and labels patients' prescriptions under the supervision of a Pharmacist. May record details of, place orders for, take stock of, and store medications and medical supplies and deliver them to patients.",Teamwork,Planning and organising,Initiative and innovation,Oral communication,Reading,Enterprise resource planning ERP software,Inventory management software,Patient management systems and electronic health records,SAP Business Objects,Inventory tracking software,3M Encoder,Certificate III in Hospital-Health Services Pharmacy Support,,,,,No minimum education,,,,
311412,Earth Science Technician,"Collects and tests earth and water samples, records observations and analyses data in support of Geologists or Geophysicists",Reading,Planning and organising,Initiative and innovation,Writing,Digital engagement,Graphics or photo imaging software,Scientific instruments,Statistical and data analysis software,Adobe Photoshop,Carbon monoxide detectors,SAS,Diploma of Water Operations,,,,,No minimum education,,,,
311413,Life Science Technician,Identifies and collects living organisms and conducts field and laboratory studies in support of Life Scientists or Environmental Scientists.,Planning and organising,Reading,Learning,Initiative and innovation,Oral communication,Business intelligence and decision support software,Document management and code versioning software,Graphics or photo imaging software,SAP Business Objects,Git,Adobe Photoshop,Certificate III in Laboratory Skills,Certificate IV in Laboratory Techniques,Diploma of Laboratory Technology,Advanced Diploma of Laboratory Operations,Certificate IV in Sustainable Operations,No minimum education,Certificate III in Laboratory Skills,Certificate IV in Laboratory Techniques,Relevant Diploma or equivalent with current relevant employment,No minimum education
312111,Architectural Draftsperson,"Completes Architects' concepts by preparing drawings and plans, and liaising with builders and contractors.",Initiative and innovation,Planning and organising,Numeracy,Digital engagement,Oral communication,Technical design and modelling software (2D and 3D),Graphics or photo imaging software,Document management and code versioning software,Autodesk AutoCAD,Adobe Photoshop,Git,Certificate IV in Residential Drafting,Diploma of Building Design,Advanced Diploma of Building Design (Architectural),,,Year 12 or equivalent; or Year 10 plus work experience; or Certificate I in Building Studies; or mature age entry. Entrance requirements vary between providers.,Year 12 or equivalent; or experience and/or qualifications are indicative of success,No minimum education,,
312112,Building Associate,"Supervises construction sites, and organises and coordinates the material and human resources required. Registration or licensing may be required.",Initiative and innovation,Planning and organising,Teamwork,Oral communication,Reading,Project management software,Document management and code versioning software,Enterprise resource planning ERP software,Microsoft SharePoint,Git,SAP Business Objects,Certificate IV in Building and Construction (Building),Certificate IV in Building and Construction (Site Management),Certificate IV in Building and Construction (Specialist Trades),Diploma of Building and Construction (Building),Diploma of Building and Construction (Management),No minimum education,An apprenticeship contract is strongly recommended.,An apprenticeship contract is strongly recommended.,No minimum education,No minimum education
312113,Building Inspector,Inspects buildings to ensure compliance with laws and regulations and advises on building requirements. Registration or licensing may be required.,Reading,Planning and organising,Initiative and innovation,Numeracy,Oral communication,Enterprise resource planning ERP software,Accounting software,Business intelligence and decision support software,SAP Business Objects,MYOB Business Essentials,SAP Business Objects,Diploma of Building Surveying,Advanced Diploma of Building Surveying,Certificate IV in Access Consulting,Diploma of Access Consulting,Certificate IV in NatHERS Assessment,An apprenticeship contract is strongly recommended.,No minimum education,Entry requirements may vary among providers.,No minimum education,No minimum education
312114,Construction Estimator,Prepares and delivers estimates and cost plans for construction projects up to the tender settlement stage.,Initiative and innovation,Planning and organising,Oral communication,Numeracy,Digital engagement,Project management software,Graphics or photo imaging software,Enterprise resource planning ERP software,Microsoft SharePoint,Adobe Photoshop,SAP Business Objects,Certificate IV in Building and Construction (Estimating),,,,,An apprenticeship contract is strongly recommended.,,,,
312116,Surveying or Spatial Science Technician,"Collects, records and evaluates spatial information and prepares databases, maps, charts and plans in support of Surveyors, Cartographers or Other Spatial Scientists. Registration or licensing may be required.",Initiative and innovation,Planning and organising,Reading,Digital engagement,Oral communication,Mapping software,Software development and programming languages,Business intelligence and decision support software,,Transact-SQL,C++,Certificate IV in Surveying,Diploma of Surveying,Advanced Diploma of Surveying,,,No minimum education,No minimum education,Diploma of Surveying or equivalent,,
312211,Civil Engineering Draftsperson,Prepares detailed drawings and plans for civil engineering work in support of Civil Engineering Professionals and Engineering Technologists. Registration or licensing may be required.,Digital engagement,Initiative and innovation,Planning and organising,Numeracy,Reading,Technical design and modelling software (2D and 3D),Project management software,Business intelligence and decision support software,Autodesk AutoCAD,Microsoft SharePoint,SAP Business Objects,Diploma of Engineering Drafting,Diploma of Timber Truss and Frame Manufacture,Diploma of Timber Truss and Frame Design,Certificate IV in Civil Construction Design,Advanced Diploma of Civil Construction Design,Year 12; or Year 11 plus 1 year vocational experience; or relevant Certificate II; or any Certificate III; or entry exam; or 2 years vocational experience,This qualification may be accessed by completion of a relevant lower level qualification or recognition of vocational experience.,Prerequisite units from Certificate IV Timber Truss and Frame Design or demonstration of equivalent competence,No minimum education,No minimum education
312212,Civil Engineering Technician,"Conducts tests of construction materials, prepares sketches and tabulations, and assists in estimating costs in support of Civil Engineering Professionals and Engineering Technologists. Registration or licensing may be required.",Initiative and innovation,Reading,Planning and organising,Teamwork,Oral communication,Technical design and modelling software (2D and 3D),Mapping software,Enterprise resource planning ERP software,Autodesk AutoCAD,,SAP Business Objects,Certificate III in Civil Construction,Certificate IV in Civil Construction Supervision,,,,No minimum education,No minimum education. Prerequisite units may apply for some electives.,,,
312312,Electrical Engineering Technician,"Conducts tests of electrical systems, prepares charts and tabulations, and assists in estimating costs in support of Electrical Engineers and Engineering Technologists. Registration or licensing may be required.",Digital engagement,Reading,Initiative and innovation,Planning and organising,Teamwork,Software development and programming languages,Application and load testing software,Business intelligence and decision support software,Transact-SQL,C++,Selenium,Advanced Diploma of Engineering Technology - Renewable Energy,Advanced Diploma of Engineering Technology - Electrical,Diploma of ESI Generation (Operations),Diploma of Renewable Energy Engineering,,Certificate III in Renewable Energy,Year 12 or equivalent,Certificate IV in ESI Generation - Operations,Entry requirements may vary among providers. Prerequisite units may apply.,
312511,Mechanical Engineering Draftsperson,Prepares detailed drawings and plans of mechanical engineering work in support of Mechanical Engineers and Engineering Technologists.,Initiative and innovation,Planning and organising,Reading,Digital engagement,Numeracy,Computer aided manufacturing (CAM),Technical design and modelling software (2D and 3D),Enterprise resource planning ERP software,Computer aided image manufacturing software,Autodesk AutoCAD,SAP Business Objects,Certificate IV in Drafting (Air Conditioning and Mechanical Services),Certificate IV in Engineering Drafting,,,,Relevant employment experience,No minimum education; credit for relevant units of competency,,,
312512,Mechanical Engineering Technician,"Conducts tests of mechanical systems, collects and analyses data, and assembles and installs mechanical assemblies in support of Mechanical Engineers and Engineering Technologists.",Initiative and innovation,Planning and organising,Reading,Digital engagement,Writing,Enterprise resource planning ERP software,Computer aided manufacturing (CAM),Industrial control and automation software,SAP Business Objects,Computer aided image manufacturing software,Computerised Numerical Control (CNC) machining centres,Certificate IV in Engineering,Diploma of Engineering - Advanced Trade,Advanced Diploma of Engineering,,,Year 12 or equivalent plus employment as a trainee in the engineering industry,A Certificate in engineering; plus relevant employment experience or mature age,No minimum education,,
313111,Hardware Technician,"Supports and maintains computer systems and peripherals by installing, configuring, testing, troubleshooting, and repairing hardware.",Planning and organising,Digital engagement,Initiative and innovation,Problem solving,Oral communication,Software development and programming languages,Application server software,Business intelligence and decision support software,Transact-SQL,C++,Microsoft Windows Server,Certificate IV in Information Technology Networking,Certificate IV in Systems Analysis and Design,Diploma of Information Technology Networking,,,No minimum education,"Certificate III in Information, Digital Media and Technology; or relevant vocational experience",Certificate IV in Information Technology Networking; or relevant vocational experience,,
313112,ICT Customer Support Officer,"Provides support, education and guidance in the deployment and maintenance of computer infrastructure and the diagnosis and resolution of technical problems and issues. May work in a call centre.",Planning and organising,Digital engagement,Reading,Oral communication,Initiative and innovation,Software development and programming languages,Business intelligence and decision support software,Enterprise resource planning ERP software,Transact-SQL,C++,SAP Business Objects,"Certificate III in Information, Digital Media and Technology",Certificate IV in Information Technology,Certificate IV in Information Technology Support,,,No minimum education,"Certificate III in Information, Digital Media and Technology; relevant vocational experience",No minimum education,,
313113,Web Administrator,"Designs, builds and maintains websites, and provides web technology solutions and services.",Digital engagement,Initiative and innovation,Planning and organising,Reading,Writing,Graphics or photo imaging software,Social media platforms,Software development and programming languages,Adobe Photoshop,Facebook,Transact-SQL,Certificate IV in Web-Based Technologies,,,,,No minimum education,,,,
321111,Automotive Electrician,"Installs, maintains and repairs electrical wiring and electronic components in motor vehicles. Registration or licensing may be required.",Planning and organising,Digital engagement,Initiative and innovation,Teamwork,Writing,Mapping software,Technical design and modelling software (2D and 3D),,,Autodesk AutoCAD,,Certificate III in Automotive Electrical Technology,Certificate IV in Automotive Electrical Technology,,,,No minimum education,Certificate III in Automotive Electrical Technology or equivalent,,,
321211,Motor Mechanic (General),"Maintains, tests and repairs petrol engines and the mechanical parts of lightweight motor vehicles such as transmissions, suspension, steering and brakes. Registration or licensing may be required.",Initiative and innovation,Planning and organising,Digital engagement,Problem solving,Numeracy,Enterprise resource planning ERP software,Computer aided manufacturing (CAM),Technical design and modelling software (2D and 3D),SAP Business Objects,Computer aided image manufacturing software,Autodesk AutoCAD,Certificate II in Automotive Studies (Pre-vocational),Certificate III in Agricultural Mechanical Technology,Certificate III in Marine Mechanical Technology,Certificate III in Light Vehicle Mechanical Technology,Certificate III in Motorsport Technology,No minimum education,No minimum education,No minimum education,No minimum education,No minimum education
321213,Motorcycle Mechanic,"Maintains, tests and repairs the mechanical parts of motorcycles. Registration or licensing may be required.",Initiative and innovation,Teamwork,Problem solving,Oral communication,Planning and organising,,,,,,,Certificate III in Motorcycle Mechanical Technology,,,,,No minimum education,,,,
321214,Small Engine Mechanic,"Maintains, tests and repairs engines of chainsaws, lawn mowers, garden tractors and other equipment with small engines. Registration or licensing may be required.",Planning and organising,Initiative and innovation,Teamwork,Oral communication,Digital engagement,,,,,,,Certificate III in Outdoor Power Equipment Technology,,,,,No minimum education,,,,
322211,Sheetmetal Trades Worker,"Marks out, shapes, forms and joins sheetmetal and other materials to make products and components.",Planning and organising,Initiative and innovation,Numeracy,Teamwork,Oral communication,Computer aided manufacturing (CAM),Industrial control and automation software,Industrial control and automation software,Computer aided image manufacturing software,Computerised Numerical Control (CNC) machining centres,Computerised Numerical Control (CNC) machining centres,Certificate III in Engineering - Mechanical Trade,Certificate III in Engineering - Fabrication Trade,Certificate III in Engineering - Technical,,,No minimum education; employed in relevant field plus training contract and adequate literacy and numeracy skills; or registered with an Australian Apprenticeship Centre,A registered training agreement with the employer or registered with an Australian Apprenticeship Centre,No minimum education,,
322311,Metal Fabricator,Marks off and fabricates structural steel and other metal stock to make or repair metal products and structures such as boilers and pressure vessels.,Initiative and innovation,Teamwork,Oral communication,Reading,Problem solving,Enterprise resource planning ERP software,Computer aided manufacturing (CAM),Industrial control and automation software,SAP Business Objects,Computer aided image manufacturing software,Computerised Numerical Control (CNC) machining centres,Certificate III in Engineering - Production Systems,,,,,No minimum education; must be employed in the industry or be registered with an Australian Apprenticeship Centre,,,,
323111,Aircraft Maintenance Engineer (Avionics),"Inspects, tests, aligns, repairs and installs aircraft electrical and avionic system components. Registration or licensing may be required.",Digital engagement,Planning and organising,Initiative and innovation,Reading,Problem solving,Electrical and electronic systems measurement instruments,,,Radio frequency RF wattmeters,,,Diploma of Aircraft Maintenance Engineering - Avioncs TB2,Certificate II in Aeroskills,Certificate II in Aircraft Line Maintenance,Certificate IV in Aeroskills (Avionics),Diploma of Aeroskills (Avionics),Year 12 or equivalent,No minimum education,No minimum education,Year 11 or equivalent; or employment in a relevant field and a training contract. Entrance requirements may vary among providers.,Year 12 or equivalent
323112,Aircraft Maintenance Engineer (Mechanical),"Inspects, tests, repairs and installs aircraft hydromechanical and flight system components and aircraft engines, subassemblies and components. Registration or licensing may be required.",Digital engagement,Reading,Problem solving,Planning and organising,Initiative and innovation,Computer aided manufacturing (CAM),Enterprise resource planning ERP software,GPS and navigation technologies,Computer aided image manufacturing software,SAP Business Objects,Global Positioning System GPS devices,Diploma of Aircraft Maintenance Engineering - Mechanical TB1,Certificate IV in Aeroskills (Mechanical),Diploma of Aeroskills (Mechanical),,,Year 12 or equivalent,"Year 11 or equivalent, or relevant employment and a training contract. Entrance requirements may vary among providers.",Year 12 or equivalent,,
323211,Fitter (General),Fits and assembles metal parts and subassemblies to fabricate production machines and other equipment.,Teamwork,Initiative and innovation,Oral communication,Numeracy,Writing,Enterprise resource planning ERP software,Computer aided manufacturing (CAM),Industrial control and automation software,SAP Business Objects,Computer aided image manufacturing software,Computerised Numerical Control (CNC) machining centres,Certificate III in Engineering - Mechanical Trade,,,,,No minimum education; employed in relevant field plus training contract and adequate literacy and numeracy skills; or registered with an Australian Apprenticeship Centre,,,,
323214,Metal Machinist (First Class),"Sets up and operates machine tools to shape and form metal stock and castings to fine tolerances, using detailed drawings and specifications.",Planning and organising,Initiative and innovation,Digital engagement,Numeracy,Reading,Enterprise resource planning ERP software,Computer aided manufacturing (CAM),Industrial control and automation software,SAP Business Objects,Computer aided image manufacturing software,Computerised Numerical Control (CNC) machining centres,Certificate III in Engineering - Mechanical Trade,,,,,No minimum education; employed in relevant field plus training contract and adequate literacy and numeracy skills; or registered with an Australian Apprenticeship Centre,,,,
323313,Locksmith,Installs and maintains locks and related security devices and systems. Registration or licensing is required.,Planning and organising,Initiative and innovation,Digital engagement,Oral communication,Reading,Accounting software,,,MYOB Business Essentials,,,Certificate III in Locksmithing,,,,,An apprenticeship contract,,,,
323315,Saw Doctor,"Repairs, sets and sharpens blades for circular, band and other saws.",Initiative and innovation,Planning and organising,Reading,Learning,Problem solving,Industrial control and automation software,,,Computerised Numerical Control (CNC) machining centres,,,Certificate III in Sawdoctoring,,,,,Certificate II in Sawdoctoring; or relevant vocational experience,,,,
324111,Panelbeater,"Repairs damage to metal, fibreglass and plastic body work on vehicles and forms replacement vehicle panels. Registration or licensing may be required.",Initiative and innovation,Planning and organising,Oral communication,Problem solving,Reading,,,,,,,Certificate III in Automotive Body Repair Technology,Certificate III in Automotive Glazing Technology,Certificate III in Automotive and Marine Trimming Technology,Certificate III in Automotive Refinishing Technology,Certificate IV in Automotive Body Repair Technology,No minimum education,No minimum education,No minimum education,No minimum education,Relevant Certificate III
324311,Vehicle Painter,"Prepares surfaces of vehicles, matches and mixes colours and applies paint. Registration or licensing may be required.",Initiative and innovation,Planning and organising,Teamwork,Oral communication,Digital engagement,,,,,,,Certificate III in Automotive Refinishing Technology,,,,,No minimum education,,,,
331111,Bricklayer,"Lays bricks, pre-cut stone and other types of building blocks in mortar to construct and repair walls, partitions, arches and other structures. Registration or licensing may be required.",Planning and organising,Initiative and innovation,Numeracy,Teamwork,Oral communication,Accounting software,Project management software,Technical design and modelling software (2D and 3D),MYOB Business Essentials,Microsoft SharePoint,Autodesk AutoCAD,Certificate III in Bricklaying/Blocklaying,,,,,An apprenticeship contract,,,,
331112,Stonemason,Cuts and shapes hard and soft stone blocks and masonry slabs to construct and renovate stone structures and monumental masonry. Registration or licensing may be required.,Initiative and innovation,Planning and organising,Oral communication,Problem solving,Learning,Technical design and modelling software (2D and 3D),Accounting software,Enterprise resource planning ERP software,Autodesk AutoCAD,MYOB Business Essentials,SAP Business Objects,Certificate III in Stonemasonry (Monumental/Installation),,,,,No minimum education,,,,
331212,Carpenter,"Constructs, erects, installs, renovates and repairs structures and fixtures of wood, plywood, wallboard and other materials. Registration or licensing may be required.",Initiative and innovation,Planning and organising,Teamwork,Numeracy,Writing,Project management software,Technical design and modelling software (2D and 3D),Accounting software,Microsoft SharePoint,Autodesk AutoCAD,MYOB Business Essentials,Certificate III in Carpentry,Certificate III in Construction Waterproofing,Certificate III in Formwork/Falsework,Certificate III in Carpentry and Joinery,,An apprenticeship contract,An apprenticeship contract,An apprenticeship contract is strongly recommended.,An apprenticeship contract is strongly recommended,
331213,Joiner,"Cuts, shapes and fits timber parts in workshops to form structures and fittings, ready for installation. Registration or licensing may be required.",Planning and organising,Initiative and innovation,Oral communication,Problem solving,Learning,Computer aided manufacturing (CAM),Facilities management software,Industrial control and automation software,Computer aided image manufacturing software,Computerised Maintenance Management System software CMMS,Computerised Numerical Control (CNC) machining centres,Certificate III in Joinery,,,,,No minimum education,,,,
332111,Floor Finisher,"Measures, cuts, installs and repairs soft and resilient floor coverings. Registration or licensing may be required.",Teamwork,Initiative and innovation,Numeracy,Planning and organising,Problem solving,Technical design and modelling software (2D and 3D),,,Autodesk AutoCAD,,,Certificate III in Flooring Technology,,,,,No minimum education,,,,
332211,Painting Trades Worker,"Applies paint, varnish, wallpaper and other finishes to protect, maintain and decorate surfaces of buildings and structures. Registration or licensing may be required.",Initiative and innovation,Teamwork,Planning and organising,Oral communication,Reading,Graphics or photo imaging software,,,Adobe Photoshop,,,Certificate III in Painting and Decorating,,,,,Year 10 or equivalent,,,,
333111,Glazier,"Measures, cuts, finishes, fits and installs flat glass and mirrors.",Initiative and innovation,Planning and organising,Teamwork,Oral communication,Reading,Computer aided manufacturing (CAM),Graphics or photo imaging software,Technical design and modelling software (2D and 3D),Computer aided image manufacturing software,Adobe Photoshop,Autodesk AutoCAD,Certificate III in Glass and Glazing,,,,,No minimum education,,,,
333211,Fibrous Plasterer,"Applies and fixes plasterboard partitions, suspended ceilings, fire rating systems, acoustic tiles, and composite wall linings to buildings. Registration or licensing may be required.",Initiative and innovation,Planning and organising,Teamwork,Reading,Problem solving,,,,,,,Certificate III in Wall and Ceiling Lining,Certificate III in Fibrous Plastering (Shopwork,,,,An apprenticeship contract,No minimum education,,,
333212,Solid Plasterer,"Applies decorative and protective coverings of plaster, cement and similar materials to the interiors and exteriors of structures. Registration or licensing may be required.",Teamwork,Planning and organising,Initiative and innovation,Oral communication,Problem solving,Customer relationship management CRM software,Graphics or photo imaging software,Software development and programming languages,Salesforce software,Adobe Photoshop,Transact-SQL,Certificate III in Solid Plastering,,,,,An apprenticeship contract,,,,
333311,Roof Tiler,"Cover roofs with tiles, sheets and shingles to form a waterproof surface. Registration or licensing may be required.",Planning and organising,Initiative and innovation,Teamwork,Oral communication,Problem solving,,,,,,,Certificate III in Roof Tiling,,,,,No minimum education,,,,
333411,Wall and Floor Tiler,"Lays ceramic, clay, slate, marble and glass tiles on external and internal walls and floors to provide protective and decorative finishes. Registration or licensing may be required.",Initiative and innovation,Planning and organising,Learning,Reading,Numeracy,Customer relationship management CRM software,,,Salesforce software,,,Certificate III in Wall and Floor Tiling,,,,,An apprenticeship contract,,,,
334111,Plumber (General),"Installs and repairs water, drainage, gas and sewerage pipes and systems. Registration or licensing is required.",Teamwork,Initiative and innovation,Planning and organising,Oral communication,Problem solving,Accounting software,Business intelligence and decision support software,,MYOB Business Essentials,SAP Business Objects,,Certificate II in Plumbing (Pre-apprenticeship),Certificate III in Plumbing,Certificate IV in Plumbing and Service,,,"Year 10 level reading, writing and maths",No minimum education,No minimum education,,
334114,Gasfitter,"Installs, maintains and repairs gas mains, piping systems downstream of the billing meter, and appliances and ancillary equipment associated with the use of fuel gases, including liquefied petroleum gas systems. Registration or licensing is required.",Planning and organising,Initiative and innovation,Teamwork,Numeracy,Writing,Technical design and modelling software (2D and 3D),,,Autodesk AutoCAD,,,Certificate III in Gas Supply Industry Operations,,,,,No minimum education,,,,
341111,Electrician (General),"Installs, tests, connects, commissions, maintains and modifies electrical equipment, wiring and control systems. Registration or licensing is required.",Initiative and innovation,Teamwork,Reading,Numeracy,Planning and organising,Electrical and electronic systems measurement instruments,Enterprise resource planning ERP software,Industrial control and automation software,Radio frequency RF wattmeters,SAP Business Objects,Computerised Numerical Control (CNC) machining centres,Certificate III in Engineering - Electrical/Electronic Trade,Certificate III in Appliance Service,Certificate III in Electrotechnology Electrician,Certificate IV in Electrical - Instrumentation,Certificate IV in Electrotechnology - Systems Electrician,No minimum education; relevant employment and a training contract,No minimum education,Entry requirements may vary among providers. Prerequisite units may apply.,No minimum education,"Certificate III in Electrotechnology - Systems Electrician or equivalent, plus relevant employment"
342111,Airconditioning and Refrigeration Mechanic,"Assembles, installs, maintains and repairs industrial, commercial and domestic airconditioning and refrigeration systems and equipment. Registration or licensing may be required.",Initiative and innovation,Planning and organising,Oral communication,Teamwork,Digital engagement,Business intelligence and decision support software,Enterprise resource planning ERP software,Industrial control and automation software,SAP Business Objects,SAP Business Objects,Computerised Numerical Control (CNC) machining centres,Certificate III in Air-conditioning and Refrigeration,Certificate IV in Air-conditioning and Refrigeration Servicing,Certificate IV in Refrigeration and Air-conditioning Systems,Certificate II in Plumbing (Pre-apprenticeship),,Entry requirements may vary among providers. Prerequisite units may apply.,No minimum education,No minimum education,"Year 10 level reading, writing and maths",
342311,Business Machine Mechanic,"Installs, maintains and repairs electronic business equipment such as multi-function devices, photocopiers, scanners, fax machines and cash registers.",Initiative and innovation,Digital engagement,Planning and organising,Oral communication,Problem solving,Enterprise application integration software,Software development and programming languages,Business intelligence and decision support software,IBM WebSphere,Transact-SQL,C++,Certificate III in Business Equipment,,,,,No minimum education,,,,
342313,Electronic Equipment Trades Worker,"Installs, maintains and repairs electronic equipment and systems such as audio and visual reproduction equipment, home entertainment systems, computers and electronic security systems.",Digital engagement,Planning and organising,Oral communication,Initiative and innovation,Reading,Graphics or photo imaging software,Business intelligence and decision support software,Video creation and editing software,Adobe Photoshop,SAP Business Objects,Adobe After Effects,Certificate III in Electronics and Communications,Certificate IV in Electronics and Communications,Certificate III in Security Equipment,Certificate III in National Broadband Network Construction,,Entry requirements may vary among providers. Prerequisite units may apply.,Year 11; or mature age entry,No minimum education,No minimum education,
342314,Electronic Instrument Trades Worker (General),"Installs, modifies, maintains and repairs electronic instruments and control systems. Registration or licensing may be required.",Planning and organising,Initiative and innovation,Digital engagement,Reading,Oral communication,Enterprise resource planning ERP software,Business intelligence and decision support software,Facilities management software,SAP Business Objects,SAP Business Objects,Computerised Maintenance Management System software CMMS,Certificate IV in Computer Systems,Certificate III in Instrumentation and Control,,,,No minimum education,Entry requirements may vary among providers. Prerequisite units may apply.,,,
